datetime,open,high,low,close,volume
2026-05-13 13:55:00,122005.0,122030.0,121880.0,122020.0,45251
2026-05-13 13:56:00,122020.0,122080.0,121900.0,121935.0,39584
2026-05-13 13:57:00,121935.0,121935.0,121750.0,121760.0,17730
2026-05-13 13:58:00,121760.0,121870.0,121735.0,121840.0,32285
2026-05-13 13:59:00,121840.0,121955.0,121815.0,121855.0,28353
2026-05-13 14:00:00,121855.0,121855.0,121705.0,121745.0,27784
2026-05-13 14:01:00,121740.0,121745.0,121520.0,121525.0,29972
2026-05-13 14:02:00,121535.0,121555.0,121385.0,121490.0,25939
2026-05-13 14:03:00,121495.0,121835.0,121475.0,121775.0,36244
2026-05-13 14:04:00,121795.0,122090.0,121770.0,122090.0,46641
2026-05-13 14:05:00,122090.0,122130.0,121960.0,122080.0,46011
2026-05-13 14:06:00,122080.0,122205.0,122065.0,122120.0,66617
2026-05-13 14:07:00,122135.0,122325.0,122135.0,122210.0,68699
2026-05-13 14:08:00,122210.0,122305.0,122190.0,122210.0,20203
2026-05-13 14:09:00,122205.0,122250.0,122160.0,122220.0,17926
2026-05-13 14:10:00,122225.0,122500.0,122210.0,122460.0,77579
2026-05-13 14:11:00,122455.0,122535.0,122415.0,122490.0,33839
2026-05-13 14:12:00,122490.0,122570.0,122400.0,122425.0,57144
2026-05-13 14:13:00,122425.0,122470.0,122340.0,122390.0,90665
2026-05-13 14:14:00,122390.0,122410.0,122290.0,122290.0,33076
2026-05-13 14:15:00,122290.0,122400.0,122185.0,122210.0,29868
2026-05-13 14:16:00,122210.0,122270.0,122175.0,122195.0,29106
2026-05-13 14:17:00,122190.0,122265.0,122140.0,122160.0,50665
2026-05-13 14:18:00,122155.0,122190.0,122010.0,122015.0,31421
2026-05-13 14:19:00,122010.0,122145.0,121990.0,122010.0,44114
2026-05-13 14:20:00,122020.0,122160.0,122005.0,122130.0,44078
2026-05-13 14:21:00,122135.0,122260.0,122055.0,122140.0,30045
2026-05-13 14:22:00,122135.0,122245.0,122110.0,122245.0,51859
2026-05-13 14:23:00,122240.0,122255.0,122125.0,122170.0,18208
2026-05-13 14:24:00,122170.0,122215.0,122110.0,122185.0,15583
2026-05-13 14:25:00,122185.0,122265.0,122005.0,122065.0,70723
2026-05-13 14:26:00,122055.0,122085.0,121845.0,121865.0,35038
2026-05-13 14:27:00,121860.0,121980.0,121805.0,121820.0,29025
2026-05-13 14:28:00,121825.0,121860.0,121770.0,121820.0,16006
2026-05-13 14:29:00,121815.0,121865.0,121720.0,121740.0,24613
2026-05-13 14:30:00,121745.0,122020.0,121745.0,121900.0,60457
2026-05-13 14:31:00,121895.0,122050.0,121890.0,121960.0,30906
2026-05-13 14:32:00,121960.0,121960.0,121790.0,121915.0,38823
2026-05-13 14:33:00,121930.0,122170.0,121910.0,122135.0,51709
2026-05-13 14:34:00,122135.0,122165.0,122060.0,122070.0,42281
2026-05-13 14:35:00,122065.0,122130.0,122005.0,122115.0,31860
2026-05-13 14:36:00,122115.0,122230.0,122100.0,122145.0,22938
2026-05-13 14:37:00,122145.0,122215.0,122135.0,122160.0,19962
2026-05-13 14:38:00,122140.0,122250.0,122080.0,122245.0,46411
2026-05-13 14:39:00,122255.0,122430.0,122255.0,122375.0,80196
2026-05-13 14:40:00,122370.0,122440.0,122315.0,122315.0,39373
2026-05-13 14:41:00,122310.0,122435.0,122250.0,122435.0,51568
2026-05-13 14:42:00,122435.0,122455.0,122345.0,122390.0,24362
2026-05-13 14:43:00,122390.0,122395.0,122295.0,122305.0,21705
2026-05-13 14:44:00,122315.0,122350.0,122240.0,122320.0,38721
2026-05-13 14:45:00,122325.0,122390.0,122255.0,122265.0,37145
2026-05-13 14:46:00,122260.0,122410.0,122225.0,122390.0,31635
2026-05-13 14:47:00,122365.0,122410.0,122332.0,122405.0,19268
2026-05-13 14:48:00,122390.0,122410.0,122270.0,122345.0,25906
2026-05-13 14:49:00,122345.0,122345.0,122230.0,122250.0,21115
2026-05-13 14:50:00,122245.0,122335.0,122170.0,122335.0,27871
2026-05-13 14:51:00,122335.0,122445.0,122240.0,122445.0,46165
2026-05-13 14:52:00,122450.0,122520.0,122440.0,122510.0,78010
2026-05-13 14:53:00,122505.0,122660.0,122495.0,122595.0,81522
2026-05-13 14:54:00,122580.0,122650.0,122560.0,122625.0,18020
2026-05-13 14:55:00,122620.0,122680.0,122510.0,122550.0,51021
2026-05-13 14:56:00,122560.0,122610.0,122505.0,122560.0,20657
2026-05-13 14:57:00,122555.0,122610.0,122520.0,122565.0,19294
2026-05-13 14:58:00,122580.0,122650.0,122530.0,122635.0,27481
2026-05-13 14:59:00,122625.0,122700.0,122600.0,122675.0,26985
2026-05-13 15:00:00,122675.0,122745.0,122650.0,122695.0,43360
2026-05-13 15:01:00,122695.0,122775.0,122650.0,122770.0,38688
2026-05-13 15:02:00,122775.0,122795.0,122645.0,122665.0,35979
2026-05-13 15:03:00,122665.0,122725.0,122630.0,122660.0,26163
2026-05-13 15:04:00,122665.0,122745.0,122655.0,122730.0,17263
2026-05-13 15:05:00,122730.0,122740.0,122650.0,122690.0,17244
2026-05-13 15:06:00,122677.0,122720.0,122655.0,122675.0,21096
2026-05-13 15:07:00,122675.0,122680.0,122550.0,122585.0,26032
2026-05-13 15:08:00,122585.0,122645.0,122565.0,122580.0,21716
2026-05-13 15:09:00,122575.0,122630.0,122500.0,122510.0,37073
2026-05-13 15:10:00,122510.0,122635.0,122490.0,122635.0,39810
2026-05-13 15:11:00,122640.0,122670.0,122555.0,122665.0,26022
2026-05-13 15:12:00,122665.0,122730.0,122665.0,122730.0,30094
2026-05-13 15:13:00,122730.0,122780.0,122725.0,122760.0,18829
2026-05-13 15:14:00,122755.0,122780.0,122720.0,122742.0,17811
2026-05-13 15:15:00,122747.0,122747.0,122690.0,122705.0,85378
2026-05-13 15:16:00,122700.0,122715.0,122625.0,122630.0,64407
2026-05-13 15:17:00,122625.0,122700.0,122625.0,122700.0,73832
2026-05-13 15:18:00,122695.0,122755.0,122695.0,122725.0,28684
2026-05-13 15:19:00,122715.0,122760.0,122695.0,122750.0,23692
2026-05-13 15:30:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 15:33:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 15:51:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 16:02:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 16:20:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 16:28:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 16:31:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 16:32:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 16:36:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 16:38:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 16:46:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 16:49:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 16:51:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 16:57:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:00:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:01:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:05:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:07:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:15:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:18:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:20:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:26:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:29:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:30:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:34:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:36:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:44:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:47:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:49:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:55:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:58:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 17:59:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 18:03:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 18:05:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 18:13:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 18:16:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 18:18:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 18:24:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 18:27:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 18:28:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 18:32:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 18:34:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 18:42:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 18:45:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 18:47:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 18:53:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 18:56:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 18:57:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 19:01:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 19:03:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 19:05:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 19:11:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 19:16:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 19:22:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 19:26:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 19:30:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 19:32:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 19:34:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 19:40:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 19:45:00,122655.0,122655.0,122655.0,122655.0,103090
2026-05-13 19:51:00,122655.0,122655.0,122655.0,122655.0,103090
